state,county,biden_county_votes,trump_county_votes,total_county_votes,county_winner,biden_county_percent,trump_county_percent
Alaska,ED 12,2954,7871,11213,trump,0.26344421653438,0.701953090163203
Alaska,ED 13,2663,4649,7707,trump,0.34553003762813,0.603217853899053
Alaska,ED 14,4260,6711,11437,trump,0.372475299466643,0.586779749934423
Alaska,ED 15,2614,2658,5538,trump,0.472011556518599,0.479956663055255
Alaska,ED 16,4273,3519,8121,biden,0.526166728235439,0.43332101957887
Alaska,ED 17,4095,2774,7159,biden,0.572007263584299,0.387484285514737
Alaska,ED 18,4679,2754,7711,biden,0.606795486966671,0.357152120347555
Alaska,ED 19,3115,1971,5294,biden,0.5884019644881,0.372308273517189
Alaska,ED 2,2102,3671,6131,trump,0.342847822541184,0.598760397977491
Alaska,ED 20,4834,2350,7410,biden,0.652361673414305,0.317139001349528
Alaska,ED 21,5409,3685,9419,biden,0.57426478394734,0.391230491559614
Alaska,ED 22,4541,4662,9484,trump,0.478806410797132,0.491564740615774
Alaska,ED 23,3796,3636,7705,biden,0.492667099286178,0.47190136275146
Alaska,ED 24,4734,5374,10422,trump,0.454231433506045,0.51563999232393
Alaska,ED 25,4592,4385,9294,biden,0.494082203572197,0.471809769743921
Alaska,ED 26,4557,5241,10108,trump,0.450831024930748,0.518500197863079
Alaska,ED 27,4843,4319,9499,biden,0.509843141383304,0.454679439941046
Alaska,ED 28,6259,6154,12736,biden,0.491441582914573,0.483197236180905
Alaska,ED 29,2984,7455,10737,trump,0.277917481605663,0.694328024587874
Alaska,ED 3,1902,6070,8375,trump,0.22710447761194,0.724776119402985
Alaska,ED 30,2637,7182,10177,trump,0.259113687727228,0.705708951557433
Alaska,ED 31,5032,6956,12389,trump,0.406166760836226,0.561465816450077
Alaska,ED 32,3496,4429,8313,trump,0.420546132563455,0.532779983158908
Alaska,ED 33,7534,3058,10952,biden,0.68791088385683,0.279218407596786
Alaska,ED 34,5762,4542,10727,biden,0.537149249557192,0.423417544513844
Alaska,ED 35,5010,4768,10100,biden,0.496039603960396,0.472079207920792
Alaska,ED 36,3795,5112,9289,trump,0.408547744644203,0.550328345354721
Alaska,ED 37,2522,2324,5066,biden,0.497828661666009,0.458744571654165
Alaska,ED 38,3202,1737,5299,biden,0.60426495565201,0.327797697678807
Alaska,ED 39,3550,1896,5811,biden,0.610910342453967,0.326277749096541
Alaska,ED 4,5769,4660,10893,biden,0.529606169099422,0.427797668227302
Alaska,ED 40,2308,1993,4590,biden,0.502832244008715,0.434204793028322
Alaska,ED 5,4203,4077,8653,biden,0.485727493354906,0.471166069571247
Alaska,ED 6,3264,5750,9430,trump,0.346129374337222,0.609756097560976
Alaska,ED 7,2212,7023,9614,trump,0.230081131682962,0.73049719159559
Alaska,ED 8,1952,7590,9883,trump,0.197510877263989,0.767985429525448
Alaska,ED 9,2768,7781,10986,trump,0.251957036227926,0.708265064627708
Arizona,Apache County,23293,11442,35172,biden,0.662259752075515,0.325315591948141
Arizona,Cochise County,23732,35557,60442,trump,0.392640878859072,0.588282982032362
Arizona,Coconino County,44698,27052,73272,biden,0.610028387378535,0.36919969428977
Arizona,Gila County,8943,18377,27662,trump,0.323295495625768,0.664340973176198
Arizona,Graham County,4034,10749,14995,trump,0.269023007669223,0.716838946315438
Arizona,Greenlee County,1182,2433,3685,trump,0.320759837177748,0.660244233378562
Arizona,La Paz County,2236,5129,7458,trump,0.299812282113167,0.687717886832931
Arizona,Maricopa County,1040774,995665,2068144,biden,0.503240586728971,0.481429242838023
Arizona,Mohave County,24831,78535,104668,trump,0.237235831390683,0.750324836626285
Arizona,Navajo County,23383,27657,51767,trump,0.451697027063573,0.534259277145672
Arizona,Pima County,304981,207758,520397,biden,0.586054493012066,0.399229818772975
Arizona,Pinal County,75106,107077,185525,trump,0.40482953779814,0.577156717423528
Arizona,Santa Cruz County,13138,6194,19556,biden,0.671814276948251,0.316731437921865
Arizona,Yavapai County,49602,91527,143221,trump,0.346331892669371,0.639061310841287
Arizona,Yuma County,32210,36534,69881,trump,0.460926432077389,0.522803050900817
Arkansas,Arkansas County,1818,4304,6292,trump,0.28893833439288,0.684043229497775
Arkansas,Ashley County,2125,5548,7926,trump,0.26810497098158,0.699974766590966
Arkansas,Baxter County,4635,15836,21007,trump,0.220640738801352,0.753843956776313
Arkansas,Benton County,42249,73965,119912,trump,0.352333377810394,0.61682734004937
Arkansas,Boone County,3064,13652,17114,trump,0.17903470842585,0.797709477620661
Arkansas,Bradley County,1214,2335,3654,trump,0.33223864258347,0.639025725232622
Arkansas,Calhoun County,479,1636,2182,trump,0.219523373052246,0.749770852428964
Arkansas,Carroll County,4023,7424,11797,trump,0.34101890311096,0.6293125370857
Arkansas,Chicot County,2260,1752,4103,biden,0.550816475749452,0.427004630757982
Arkansas,Clark County,3438,4616,8395,trump,0.409529481834425,0.549851101846337
Arkansas,Clay County,962,4086,5183,trump,0.185606791433533,0.78834651746093
Arkansas,Cleburne County,1988,10328,12680,trump,0.156782334384858,0.814511041009464
Arkansas,Cleveland County,651,2867,3600,trump,0.180833333333333,0.796388888888889
Arkansas,Columbia County,2814,5500,8616,trump,0.326601671309192,0.638347260909935
Arkansas,Conway County,2615,5694,8685,trump,0.301093839953944,0.655613126079447
Arkansas,Craighead County,11921,25558,38511,trump,0.309547921373114,0.663654540261224
Arkansas,Crawford County,4959,18607,24091,trump,0.205844506247146,0.772363123158026
Arkansas,Crittenden County,8514,7333,16367,biden,0.520193071424207,0.448035681554347
Arkansas,Cross County,1772,4946,6942,trump,0.255257850763469,0.712474791126476
Arkansas,Dallas County,963,1573,2649,trump,0.363533408833522,0.593808984522461
Arkansas,Desha County,2016,1921,4164,biden,0.484149855907781,0.46133525456292
Arkansas,Drew County,2426,4349,6908,trump,0.351187029530979,0.629559930515345
Arkansas,Faulkner County,18347,34421,54428,trump,0.337087528477989,0.632413463658411
Arkansas,Franklin County,1300,5677,7129,trump,0.182353766306635,0.796324870248282
Arkansas,Fulton County,1035,3961,5119,trump,0.202187927329557,0.773783942176206
Arkansas,Garland County,14045,29069,44199,trump,0.317767370302496,0.657684562999163
Arkansas,Grant County,1268,6794,8200,trump,0.154634146341463,0.828536585365854
Arkansas,Greene County,3045,12651,16066,trump,0.189530685920578,0.787439312834557
Arkansas,Hempstead County,2138,4470,6848,trump,0.312207943925234,0.652745327102804
Arkansas,Hot Spring County,3082,9202,12557,trump,0.245440789997611,0.732818348331608
Arkansas,Howard County,1340,3367,4834,trump,0.277203144393877,0.696524617294166
Arkansas,Independence County,2806,11250,14512,trump,0.193357221609702,0.775220507166483
Arkansas,Izard County,1021,4631,5810,trump,0.175731497418244,0.797074010327022
Arkansas,Jackson County,1365,3593,5091,trump,0.268120212139069,0.705755254370458
Arkansas,Jefferson County,14882,9500,25030,biden,0.594566520175789,0.379544546544147
Arkansas,Johnson County,2283,6938,9498,trump,0.240366392924826,0.730469572541588
Arkansas,Lafayette County,839,1757,2679,trump,0.31317655841732,0.655841731989548
Arkansas,Lawrence County,1080,4569,5857,trump,0.184394741335155,0.780092197370668
Arkansas,Lee County,1423,1286,2848,biden,0.499648876404494,0.451544943820225
Arkansas,Lincoln County,1032,2729,3875,trump,0.266322580645161,0.704258064516129
Arkansas,Little River County,1226,3715,5177,trump,0.236816689202241,0.717597063936643
Arkansas,Logan County,1544,6441,8225,trump,0.187720364741641,0.783100303951368
Arkansas,Lonoke County,6686,22884,30662,trump,0.218054921401083,0.746330963407475
Arkansas,Madison County,1563,5658,7351,trump,0.212624132771052,0.769691198476398
Arkansas,Marion County,1531,5783,7503,trump,0.204051712648274,0.770758363321338
Arkansas,Miller County,4245,11920,16529,trump,0.256821344303951,0.721156754794603
Arkansas,Mississippi County,4542,7262,12287,trump,0.369658989175551,0.591031171156507
Arkansas,Monroe County,1147,1545,2816,trump,0.407315340909091,0.548650568181818
Arkansas,Montgomery County,731,3046,3873,trump,0.188742576813839,0.786470436354247
Arkansas,Nevada County,775,1275,2119,trump,0.365738555922605,0.60169891458235
Arkansas,Newton County,709,3192,3998,trump,0.177338669334667,0.7983991995998
Arkansas,Ouachita County,3995,5294,9629,trump,0.414892512202721,0.54979748675875
Arkansas,Perry County,1012,3479,4627,trump,0.218716230819105,0.751891074130106
Arkansas,Phillips County,3623,2417,6242,biden,0.580422941364947,0.387215636014098
Arkansas,Pike County,644,3519,4246,trump,0.151672162034856,0.828780028261894
Arkansas,Poinsett County,1424,5918,7521,trump,0.189336524398351,0.78686344900944
Arkansas,Polk County,1246,7035,8490,trump,0.146760895170789,0.828621908127208
Arkansas,Pope County,5772,18081,24432,trump,0.236247544204322,0.740054027504912
Arkansas,Prairie County,654,2786,3495,trump,0.187124463519313,0.797138769670959
Arkansas,Pulaski County,101947,63687,169956,biden,0.59984348890301,0.374726399774059
Arkansas,Randolph County,1215,5355,6812,trump,0.178361714621257,0.786112742219612
Arkansas,Saline County,16060,39556,56959,trump,0.281957197282256,0.694464439333556
Arkansas,Scott County,483,2962,3551,trump,0.136018023092087,0.834131230639257
Arkansas,Searcy County,588,3365,4019,trump,0.146305051007713,0.837272953471013
Arkansas,Sebastian County,14487,31198,47140,trump,0.307318625371235,0.661815867628341
Arkansas,Sevier County,1116,3884,5202,trump,0.214532871972318,0.746635909265667
Arkansas,Sharp County,1398,5938,7566,trump,0.1847739888977,0.784826856991805
Arkansas,St. Francis County,3604,3242,7108,biden,0.507034327518289,0.456105796285875
Arkansas,Stone County,1180,4616,5938,trump,0.198720107780397,0.777366116537555
Arkansas,Union County,5584,10478,16607,trump,0.336243752634431,0.630938760763534
Arkansas,Van Buren County,1593,6034,7807,trump,0.20404764954528,0.772896118867683
Arkansas,Washington County,43824,47504,94266,trump,0.46489720577939,0.503935671397959
Arkansas,White County,5978,24182,30885,trump,0.193556742755383,0.782969078840861
Arkansas,Woodruff County,856,1543,2476,trump,0.345718901453958,0.623182552504039
Arkansas,Yell County,1284,5226,6741,trump,0.19047619047619,0.775255896751224
California,Alameda County,617486,136238,769617,biden,0.802328950633887,0.177020517997913
California,Alpine County,473,238,736,biden,0.642663043478261,0.323369565217391
California,Amador County,8153,13585,22302,trump,0.365572594386154,0.609138193883957
California,Butte County,50416,48723,102024,biden,0.494158237277503,0.477564102564103
California,Calaveras County,9845,16287,26717,trump,0.368491971403975,0.609611857618745
California,Colusa County,3218,4539,7919,trump,0.40636443995454,0.573178431620154
California,Contra Costa County,415573,152497,579996,biden,0.716510113862854,0.262927675363278
California,Del Norte County,4659,6444,11416,trump,0.408111422564821,0.564470918009811
California,El Dorado County,51606,61820,116101,trump,0.444492295501331,0.532467420607919
California,Fresno County,192118,163880,363271,biden,0.528855867933306,0.451123266101616
California,Glenn County,3939,7000,11170,trump,0.352641002685765,0.62667860340197
California,Humboldt County,43633,21069,66914,biden,0.652075798786502,0.314866844008728
California,Imperial County,32165,18720,51966,biden,0.618962398491321,0.360235538621406
California,Inyo County,4623,4611,9460,biden,0.488689217758985,0.487420718816068
California,Kern County,128957,159846,295916,trump,0.435789210451615,0.540173562767812
California,Kings County,17729,23169,41933,trump,0.422793503922925,0.552524264898767
California,Lake County,6874,3955,11038,biden,0.622757745968473,0.358307664431962
California,Lassen County,2775,8814,11800,trump,0.235169491525424,0.746949152542373
California,Los Angeles County,3020546,1142225,4251487,biden,0.71046812562287,0.268664822449181
California,Madera County,23154,29361,53690,trump,0.431253492270441,0.546861612963308
California,Marin County,128262,24610,155771,biden,0.823401018161275,0.157988329021448
California,Mariposa County,4088,5950,10280,trump,0.397665369649805,0.578793774319066
California,Mendocino County,18303,6312,25171,biden,0.72714631917683,0.250764768980176
California,Merced County,48685,39132,89953,biden,0.541227085255633,0.435027180861116
California,Modoc County,1150,3109,4338,trump,0.265099124020286,0.716689718764408
California,Mono County,3998,2504,6713,biden,0.595560852078058,0.373007597199464
California,Monterey County,113893,46274,163797,biden,0.695330195302722,0.282508226646398
California,Napa County,46962,19388,67847,biden,0.69217504090085,0.285760608427786
California,Nevada County,36332,26753,64683,biden,0.561693180588408,0.41360171915341
California,Orange County,813907,676417,1521538,biden,0.534923873081053,0.444561358309815
California,Placer County,103942,118709,228108,trump,0.455670121170674,0.520407000192891
California,Plumas County,4465,6247,10950,trump,0.407762557077626,0.570502283105023
California,Riverside County,521323,442462,983005,biden,0.530336061362862,0.450111647448385
California,Sacramento County,436059,255577,709436,biden,0.614655867477827,0.360253779058294
California,San Benito County,17315,10412,28317,biden,0.611470141611046,0.367694317900908
California,San Bernardino County,447924,359658,825978,biden,0.542295315371596,0.435432904992627
California,San Diego County,963797,599539,1600272,biden,0.602270738974374,0.374648184808583
California,San Francisco County,377772,56329,442969,biden,0.852818143030325,0.127162397368665
California,San Joaquin County,152722,114039,272536,biden,0.56037367540435,0.418436463439692
California,San Luis Obispo County,87491,66661,158035,biden,0.553617869459297,0.42181162400734
California,San Mateo County,290901,75404,373374,biden,0.779114239341786,0.201953001548046
California,Santa Barbara County,126419,63583,194378,biden,0.650377100289127,0.32711006389612
California,Santa Clara County,617824,214538,850297,biden,0.726597882857402,0.252309487155664
California,Santa Cruz County,113487,26688,143757,biden,0.789436340491246,0.185646611991068
California,Shasta County,29312,58886,90225,trump,0.324876697146024,0.652657245774453
California,Sierra County,730,1142,1930,trump,0.378238341968912,0.591709844559586
California,Siskiyou County,9591,13288,23446,trump,0.409067644800819,0.566749125650431
California,Solano County,131571,69263,205716,biden,0.639575920200665,0.336692333119446
California,Sonoma County,199929,61821,268238,biden,0.745341823306168,0.230470701392047
California,Stanislaus County,105028,103189,213057,biden,0.492957283731584,0.484325790750832
California,Sutter County,17364,24372,42634,trump,0.407280574189614,0.57165642444997
California,Tehama County,8802,18865,28319,trump,0.31081605988912,0.666160528267241
California,Trinity County,2848,3185,6252,trump,0.455534229046705,0.509436980166347
California,Tulare County,65056,76315,144448,trump,0.450376606114311,0.528321610544971
California,Tuolumne County,11808,17302,29820,trump,0.395975855130785,0.580214621059691
California,Ventura County,250784,161773,421612,biden,0.594821779266245,0.383701128051384
California,Yolo County,58328,22422,82624,biden,0.705945003872967,0.27137393493416
California,Yuba County,10343,16210,27329,trump,0.378462439167185,0.593142815324381
Colorado,Adams County,134202,95657,236735,biden,0.566887025577122,0.404067839567449
